 kills deaths assists
trent 179 126 47
jawgemo 167 169 66
valyn 145 141 89
leaf 186 146 44
JonahP 144 138 113
johnqt 242 231 100
N4RRATE 244 258 140
bang 242 252 152
zekken 291 264 81
Zellsis 254 261 129
aspas 332 241 48
xenom 247 240 155
nzr 216 250 122
cortezia 245 267 67
artzin 243 288 112
Shyy 188 154 56
Melser 182 148 88
keznit 183 167 40
Adverso 157 169 77
Mazino 159 178 110
dgzin 175 130 25
pANcada 142 131 63
tuyz 113 134 50
cauanzin 142 153 49
v1nNy 111 135 79
Demon1 103 111 44
nataNk 104 97 56
kiNgg 112 104 57
Tex 104 95 14
C0M 103 106 38
mada 178 130 35
Ethan 114 121 81
s0m 138 125 81
Verno 116 120 42
FNS 86 126 59
supamen 88 87 37
icy 95 99 20
yay 85 89 25
Derrek 78 94 44
NaturE 77 86 36
eeiu 129 107 55
Asuna 132 122 47
Cryocells 138 115 41
Zander 100 113 56
Boostio 81 119 56
goberA 23 24 10
Pryze 19 24 8
silentzz 17 28 5
lz 16 27 5
zap 10 27 11
OXY 118 127 30
v1c 92 101 60
neT 95 110 35
mitch 79 111 71
Xeppaa 107 115 41
Khalil 62 58 21
havoc 57 66 18
heat 49 59 7
raafa 35 63 20
mwzera 44 55 23
